sales_document,sales_document_item,requested_delivery_date,plant,storage_location,shipping_condition
1,10,2023-04-25,PAR1,WH-A,Pickup
2,10,2023-07-25,AMS1,WH-A,Pickup
3,10,2024-01-30,PAR1,WH-B,Standard
4,10,2023-07-16,AMS1,WH-B,Pickup
5,10,2024-11-24,AMS1,WH-A,Standard
6,10,2023-02-09,BER1,WH-A,Standard
7,10,2024-07-29,PAR1,WH-B,Pickup
8,10,2023-03-09,BER1,WH-B,Pickup
9,10,2023-10-03,AMS1,WH-B,Standard
10,10,2023-03-07,PAR1,WH-B,Standard
11,10,2024-07-12,PAR1,WH-A,Standard
12,10,2023-08-14,BER1,WH-C,Pickup
13,10,2024-08-15,BER1,WH-C,Pickup
14,10,2024-10-23,AMS1,WH-B,Pickup
15,10,2023-03-27,BER1,WH-A,Standard
16,10,2023-01-07,PAR1,WH-C,Express
17,10,2023-11-23,AMS1,WH-A,Standard
18,10,2023-09-10,AMS1,WH-B,Pickup
19,10,2023-03-17,AMS1,WH-C,Express
20,10,2023-11-06,BER1,WH-C,Pickup
21,10,2023-09-30,PAR1,WH-B,Pickup
22,10,2024-12-25,BER1,WH-B,Pickup
23,10,2024-12-05,AMS1,WH-B,Standard
24,10,2023-09-13,BER1,WH-A,Pickup
25,10,2024-11-12,BER1,WH-C,Standard
26,10,2023-02-10,PAR1,WH-C,Express
27,10,2024-11-17,AMS1,WH-C,Pickup
28,10,2024-07-23,PAR1,WH-C,Express
29,10,2023-11-28,AMS1,WH-A,Pickup
30,10,2024-11-26,BER1,WH-C,Standard
31,10,2024-01-31,BER1,WH-A,Pickup
32,10,2023-05-21,PAR1,WH-B,Express
33,10,2024-05-11,AMS1,WH-C,Pickup
34,10,2024-12-30,PAR1,WH-C,Standard
35,10,2024-08-20,AMS1,WH-B,Standard
36,10,2024-11-28,AMS1,WH-B,Pickup
37,10,2024-04-17,BER1,WH-C,Standard
38,10,2024-11-03,AMS1,WH-C,Standard
39,10,2024-01-15,PAR1,WH-C,Express
40,10,2023-04-22,PAR1,WH-B,Standard
41,10,2023-06-08,BER1,WH-B,Pickup
42,10,2024-09-18,PAR1,WH-B,Pickup
43,10,2023-01-11,AMS1,WH-C,Pickup
44,10,2023-11-17,AMS1,WH-A,Standard
45,10,2024-07-02,BER1,WH-C,Pickup
46,10,2023-05-11,AMS1,WH-A,Pickup
47,10,2023-09-24,BER1,WH-C,Standard
48,10,2024-09-14,BER1,WH-C,Express
49,10,2023-10-03,BER1,WH-B,Standard
50,10,2023-10-19,AMS1,WH-C,Pickup
51,10,2024-08-06,PAR1,WH-B,Pickup
52,10,2023-09-14,BER1,WH-C,Pickup
53,10,2024-10-16,PAR1,WH-B,Express
54,10,2023-02-09,PAR1,WH-B,Pickup
55,10,2024-03-28,PAR1,WH-A,Pickup
56,10,2024-07-19,AMS1,WH-B,Express
57,10,2023-09-11,PAR1,WH-B,Express
58,10,2024-08-18,PAR1,WH-B,Pickup
59,10,2024-03-01,BER1,WH-B,Standard
60,10,2024-06-30,AMS1,WH-C,Standard
61,10,2024-01-26,BER1,WH-B,Pickup
62,10,2024-12-18,PAR1,WH-A,Standard
63,10,2023-07-04,AMS1,WH-B,Standard
64,10,2024-07-13,BER1,WH-B,Pickup
65,10,2024-01-04,BER1,WH-C,Pickup
66,10,2024-10-04,AMS1,WH-C,Standard
67,10,2023-07-01,BER1,WH-A,Express
68,10,2024-12-01,AMS1,WH-C,Standard
69,10,2023-04-23,BER1,WH-A,Express
70,10,2023-11-16,PAR1,WH-A,Standard
71,10,2024-09-26,PAR1,WH-C,Express
72,10,2023-03-08,PAR1,WH-A,Express
73,10,2024-07-27,BER1,WH-C,Standard
74,10,2023-05-20,PAR1,WH-A,Standard
75,10,2024-04-07,AMS1,WH-B,Express
76,10,2023-04-23,PAR1,WH-B,Pickup
77,10,2024-09-06,AMS1,WH-B,Express
78,10,2023-04-09,PAR1,WH-C,Pickup
79,10,2023-05-15,BER1,WH-C,Express
80,10,2023-08-19,BER1,WH-A,Express
81,10,2024-12-23,PAR1,WH-C,Express
82,10,2024-01-29,PAR1,WH-A,Standard
83,10,2024-04-02,AMS1,WH-C,Express
84,10,2023-11-12,BER1,WH-B,Pickup
85,10,2024-03-16,BER1,WH-B,Pickup
