sales_document,document_type,sales_document_item,order_date,company_code,sales_organization,distribution_channel,sold_to_customer,material_id,order_priority,payment_terms,incoterms,order_quantity,net_unit_price,discount_pct
1,ZOR,10,2023-04-25,1000,DE01,Retail,C002,MAT002,Critical,NET30,EXW,2,420.9,0.1
2,OR,10,2023-07-23,2000,EU02,Partner,C001,MAT003,Critical,PREPAID,DAP,3,415.03,0.2
3,ZOR,10,2024-01-25,2000,EU02,Partner,C001,MAT008,Low,COD,EXW,9,552.46,0.15
4,OR,10,2023-07-16,1000,EU01,Online,C004,MAT002,Critical,PREPAID,DAP,11,1507.2,0.0
5,OR,10,2024-11-17,1000,EU02,Retail,C003,MAT008,Critical,PREPAID,FCA,12,1018.02,0.15
6,ZOR,10,2023-02-02,2000,DE01,Retail,C010,MAT006,Medium,COD,DAP,11,844.87,0.0
7,ZOR,10,2024-07-28,2000,EU01,Retail,C003,MAT008,Low,NET30,EXW,3,1142.44,0.2
8,ZOR,10,2023-03-07,2000,EU02,Partner,C009,MAT001,Low,PREPAID,FCA,6,231.89,0.05
9,OR,10,2023-09-27,2000,EU02,Retail,C003,MAT006,Medium,NET30,FCA,6,897.39,0.0
10,OR,10,2023-03-01,1000,EU02,Inside Sales,C002,MAT003,Medium,COD,FCA,3,502.82,0.2
11,ZOR,10,2024-07-06,2000,EU02,Partner,C008,MAT008,Low,NET45,EXW,2,631.72,0.1
12,OR,10,2023-08-14,1000,DE01,Online,C001,MAT006,Low,NET45,DAP,11,891.76,0.1
13,OR,10,2024-08-13,2000,EU01,Retail,C002,MAT002,Critical,PREPAID,DAP,7,859.3,0.15
14,OR,10,2024-10-23,2000,EU02,Partner,C002,MAT004,Medium,NET45,FCA,8,282.42,0.0
15,OR,10,2023-03-19,1000,EU02,Online,C002,MAT004,Medium,COD,DAP,8,412.26,0.05
16,ZOR,10,2023-01-03,2000,EU01,Inside Sales,C009,MAT008,Medium,NET45,DAP,4,1744.77,0.1
17,OR,10,2023-11-18,2000,EU02,Retail,C001,MAT002,Medium,NET30,FCA,2,1226.75,0.0
18,OR,10,2023-09-10,2000,EU02,Partner,C005,MAT004,High,NET45,DAP,7,266.0,0.15
19,ZOR,10,2023-03-16,1000,DE01,Retail,C009,MAT005,Medium,PREPAID,EXW,4,687.22,0.0
20,ZOR,10,2023-11-06,1000,DE01,Partner,C002,MAT002,Medium,PREPAID,DAP,10,406.76,0.0
21,ZOR,10,2023-09-28,1000,DE01,Inside Sales,C005,MAT001,Low,PREPAID,EXW,11,1764.34,0.0
22,OR,10,2024-12-23,1000,DE01,Retail,C009,MAT001,High,NET45,DAP,3,108.83,0.0
23,OR,10,2024-11-29,2000,EU02,Inside Sales,C010,MAT003,Medium,NET45,EXW,7,78.75,0.15
24,OR,10,2023-09-12,1000,EU01,Online,C008,MAT004,Medium,COD,DAP,5,1483.25,0.2
25,ZOR,10,2024-11-06,2000,EU01,Online,C005,MAT006,Critical,PREPAID,EXW,2,1582.97,0.0
26,ZOR,10,2023-02-09,2000,EU02,Partner,C007,MAT002,Critical,NET45,DAP,1,1286.01,0.0
27,ZOR,10,2024-11-17,2000,DE01,Partner,C010,MAT006,Low,PREPAID,FCA,5,1212.07,0.0
28,OR,10,2024-07-21,2000,EU02,Inside Sales,C003,MAT005,Critical,NET30,DAP,5,405.97,0.2
29,ZOR,10,2023-11-26,2000,EU02,Retail,C009,MAT008,Medium,NET30,DAP,9,1206.7,0.1
30,OR,10,2024-11-19,1000,DE01,Online,C001,MAT004,Critical,NET30,DAP,7,1599.03,0.1
31,ZOR,10,2024-01-29,1000,DE01,Online,C002,MAT007,Medium,NET45,FCA,9,854.93,0.1
32,ZOR,10,2023-05-17,2000,EU02,Inside Sales,C009,MAT008,Medium,COD,DAP,5,1361.89,0.2
33,ZOR,10,2024-05-11,2000,DE01,Partner,C004,MAT005,High,PREPAID,FCA,2,279.23,0.0
