sales_id,customer_key,product_key,date_key,quantity,unit_price,amount
1,1,1,20230523,5,386.22,1931.1000000000001
2,1,5,20230202,2,895.98,1791.96
3,1,1,20240908,4,368.17,1472.68
4,1,5,20241219,4,1081.13,4324.52
5,5,4,20231012,4,687.58,2750.32
6,1,2,20230609,7,526.87,3688.09
7,2,3,20230410,2,161.8,323.6
8,3,3,20240415,5,1215.51,6077.55
9,5,1,20231028,7,141.23,988.6099999999999
10,5,3,20230216,4,1064.24,4256.96
11,2,3,20230414,2,1286.59,2573.18
12,4,3,20240109,8,962.63,7701.04
13,2,3,20231001,6,334.02,2004.12
14,1,5,20230908,3,812.86,2438.58
15,2,4,20241017,7,423.17,2962.19
16,5,2,20230227,6,1268.21,7609.26
17,2,1,20230309,6,616.72,3700.32
18,2,5,20240526,6,338.62,2031.72
19,4,4,20230910,3,415.7,1247.1
20,5,5,20240314,5,1126.85,5634.25
21,5,4,20230522,6,348.5,2091.0
22,5,4,20230423,2,1139.78,2279.56
23,2,2,20240130,7,904.7,6332.900000000001
24,4,5,20240720,8,805.44,6443.52
25,1,1,20231215,5,1158.68,5793.400000000001
26,1,3,20230104,7,258.28,1807.9599999999998
27,3,5,20230419,3,773.83,2321.4900000000002
28,3,5,20230615,4,250.44,1001.76
29,5,5,20240515,1,908.44,908.44
30,1,1,20231111,6,1321.11,7926.66
31,2,1,20230322,4,1320.06,5280.24
32,1,4,20240629,2,1467.53,2935.06
33,2,2,20230619,8,1421.6,11372.8
34,3,5,20240706,7,1447.44,10132.08
35,2,3,20241027,7,1492.85,10449.949999999999
36,3,4,20230819,8,203.48,1627.84
37,1,3,20230824,1,892.76,892.76
38,5,2,20241008,1,129.71,129.71
39,1,2,20231205,2,1360.49,2720.98
40,1,5,20240512,4,435.75,1743.0
41,2,5,20240807,3,1091.95,3275.8500000000004
42,5,4,20240221,4,1182.31,4729.24
43,2,1,20231229,2,997.0,1994.0
44,4,4,20230225,8,1299.16,10393.28
45,1,1,20230422,7,1099.12,7693.839999999999
46,2,2,20230524,4,816.02,3264.08
47,4,2,20230319,5,707.38,3536.9
48,4,5,20240707,2,99.62,199.24
49,1,1,20240512,4,270.31,1081.24
50,4,2,20230618,7,1356.1,9492.699999999999
51,4,1,20240410,7,416.17,2913.19
52,3,4,20231031,8,253.33,2026.64
53,2,1,20230228,1,1128.26,1128.26
54,1,5,20240627,8,766.7,6133.6
55,2,1,20230312,2,1280.73,2561.46
56,5,1,20240806,4,620.57,2482.28
57,2,5,20240305,1,938.59,938.59
58,5,5,20230729,6,1403.69,8422.14
59,3,2,20241118,5,608.78,3043.8999999999996
60,3,4,20230316,6,1395.3,8371.8
61,1,4,20230807,2,133.06,266.12
62,5,3,20230312,3,1401.56,4204.68
63,2,3,20240710,5,257.68,1288.4
64,3,5,20240721,1,1010.1,1010.1
65,3,1,20230420,3,415.09,1245.27
66,5,2,20230804,5,440.59,2202.95
67,3,2,20230915,5,770.48,3852.4
68,1,1,20230215,7,1248.29,8738.029999999999
69,1,3,20230926,3,964.74,2894.2200000000003
70,2,4,20230425,7,852.34,5966.38
71,1,2,20240819,1,1256.03,1256.03
72,5,2,20231112,7,212.98,1490.86
73,3,1,20230913,6,334.86,2009.16
74,1,3,20230608,7,1461.41,10229.87
75,2,2,20230126,3,1325.09,3975.2699999999995
76,2,3,20230912,7,1208.3,8458.1
77,3,2,20230209,2,589.25,1178.5
